# engine	entry	ratio	mode	metric	value
baseline-v1	sine220	0.5	repeat	trailing_silence	0.002000
baseline-v1	sine220	0.5	repeat	spectral_delta_db	0.003260
baseline-v1	sine220	0.5	repeat	level_delta_db	0.089917
baseline-v1	sine220	0.75	repeat	trailing_silence	0.000667
baseline-v1	sine220	0.75	repeat	spectral_delta_db	0.002765
baseline-v1	sine220	0.75	repeat	level_delta_db	0.069608
baseline-v1	sine220	1.25	repeat	trailing_silence	0.000400
baseline-v1	sine220	1.25	repeat	spectral_delta_db	0.004189
baseline-v1	sine220	1.25	repeat	level_delta_db	0.071580
baseline-v1	sine220	1.25	repeat	mod_expected_db	29.745205
baseline-v1	sine220	1.25	repeat	mod_band_peak_db	38.838236
baseline-v1	sine220	1.25	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	1.25	repeat	sine_sideband_db	12.282033
baseline-v1	sine220	1.25	repeat	sine_thd_db	-55.749104
baseline-v1	sine220	1.5	repeat	trailing_silence	0.000667
baseline-v1	sine220	1.5	repeat	spectral_delta_db	0.004761
baseline-v1	sine220	1.5	repeat	level_delta_db	0.045894
baseline-v1	sine220	1.5	repeat	mod_expected_db	25.594050
baseline-v1	sine220	1.5	repeat	mod_band_peak_db	33.999944
baseline-v1	sine220	1.5	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	1.5	repeat	sine_sideband_db	-9.407570
baseline-v1	sine220	1.5	repeat	sine_thd_db	-75.738393
baseline-v1	sine220	2	repeat	trailing_silence	0.000500
baseline-v1	sine220	2	repeat	spectral_delta_db	0.011337
baseline-v1	sine220	2	repeat	level_delta_db	0.061131
baseline-v1	sine220	2	repeat	mod_expected_db	30.714705
baseline-v1	sine220	2	repeat	mod_band_peak_db	36.002415
baseline-v1	sine220	2	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	2	repeat	sine_sideband_db	-3.063432
baseline-v1	sine220	2	repeat	sine_thd_db	-54.463357
baseline-v1	sine220	4	repeat	trailing_silence	0.000250
baseline-v1	sine220	4	repeat	spectral_delta_db	0.009832
baseline-v1	sine220	4	repeat	level_delta_db	0.062903
baseline-v1	sine220	4	repeat	mod_expected_db	12.974930
baseline-v1	sine220	4	repeat	mod_band_peak_db	36.544125
baseline-v1	sine220	4	repeat	mod_acf_peak	0.000000
baseline-v1	sine220	4	repeat	sine_sideband_db	-12.635158
baseline-v1	sine220	4	repeat	sine_thd_db	-68.879783
baseline-v1	sine220	1.5	once	trailing_silence	0.085333
baseline-v1	sine220	1.5	once	spectral_delta_db	0.003635
baseline-v1	sine220	1.5	once	mod_expected_db	57.823428
baseline-v1	sine220	1.5	once	mod_band_peak_db	64.056305
baseline-v1	sine220	1.5	once	mod_acf_peak	0.000000
baseline-v1	sine220	1.5	once	sine_sideband_db	-18.501151
baseline-v1	sine220	1.5	once	sine_thd_db	-79.720079
baseline-v1	sine220	1.5	pingpong	trailing_silence	0.000667
baseline-v1	sine220	1.5	pingpong	spectral_delta_db	0.010907
baseline-v1	sine220	1.5	pingpong	level_delta_db	0.077633
baseline-v1	sine220	1.5	pingpong	mod_expected_db	29.991336
baseline-v1	sine220	1.5	pingpong	mod_band_peak_db	38.901394
baseline-v1	sine220	1.5	pingpong	mod_acf_peak	0.000000
baseline-v1	sine220	1.5	pingpong	sine_sideband_db	-5.277210
baseline-v1	sine220	1.5	pingpong	sine_thd_db	-72.917221
baseline-v1	sine220	2	once	trailing_silence	0.127500
baseline-v1	sine220	2	once	spectral_delta_db	0.004116
baseline-v1	sine220	2	once	mod_expected_db	37.668538
baseline-v1	sine220	2	once	mod_band_peak_db	64.013079
baseline-v1	sine220	2	once	mod_acf_peak	0.000000
baseline-v1	sine220	2	once	sine_sideband_db	-24.979446
baseline-v1	sine220	2	once	sine_thd_db	-75.454512
baseline-v1	sine220	2	pingpong	trailing_silence	0.000500
baseline-v1	sine220	2	pingpong	spectral_delta_db	0.011533
